protocol,medium,cc,bandwidth,rtt
QUIC,cellular,BBR,100mbps,111.09824
QUIC,cellular,BBR,100mbps,113.804214
QUIC,cellular,BBR,100mbps,117.35436
QUIC,cellular,BBR,100mbps,115.7399
QUIC,cellular,BBR,100mbps,113.03221
QUIC,cellular,BBR,100mbps,114.402885
QUIC,cellular,BBR,100mbps,115.78359
QUIC,cellular,BBR,100mbps,113.91285
QUIC,cellular,BBR,100mbps,112.662506
QUIC,cellular,BBR,100mbps,111.59562
QUIC,cellular,BBR,100mbps,109.90471
QUIC,cellular,BBR,100mbps,112.3298
QUIC,cellular,BBR,100mbps,111.45224
QUIC,cellular,BBR,100mbps,113.79816
QUIC,cellular,BBR,100mbps,115.987015
QUIC,cellular,BBR,100mbps,117.652534
QUIC,cellular,BBR,100mbps,118.99209
QUIC,cellular,BBR,100mbps,117.2313
QUIC,cellular,BBR,100mbps,118.60664
QUIC,cellular,BBR,100mbps,116.88269
QUIC,cellular,BBR,100mbps,118.95933
QUIC,cellular,BBR,100mbps,121.924385
QUIC,cellular,BBR,100mbps,120.33382
QUIC,cellular,BBR,100mbps,118.2301
QUIC,cellular,BBR,100mbps,122.35694
QUIC,cellular,BBR,100mbps,125.620636
QUIC,cellular,BBR,100mbps,125.79566
QUIC,cellular,BBR,100mbps,122.81129
QUIC,cellular,BBR,100mbps,123.557526
QUIC,cellular,BBR,100mbps,124.18527
QUIC,cellular,BBR,100mbps,121.93548
QUIC,cellular,BBR,100mbps,112.20692
QUIC,cellular,BBR,100mbps,105.54239
QUIC,cellular,BBR,100mbps,103.87784
QUIC,cellular,BBR,100mbps,101.55333
QUIC,cellular,BBR,100mbps,100.497475
QUIC,cellular,BBR,100mbps,93.28559
QUIC,cellular,BBR,100mbps,89.987465
QUIC,cellular,BBR,100mbps,85.50107
QUIC,cellular,BBR,100mbps,86.01006
QUIC,cellular,BBR,100mbps,80.95386
QUIC,cellular,BBR,100mbps,81.65919
QUIC,cellular,BBR,100mbps,80.10877
QUIC,cellular,BBR,100mbps,80.39994
QUIC,cellular,BBR,100mbps,75.10558
QUIC,cellular,BBR,100mbps,70.931015
QUIC,cellular,BBR,100mbps,67.34864
QUIC,cellular,BBR,100mbps,63.990475
QUIC,cellular,BBR,100mbps,61.803036
QUIC,cellular,BBR,100mbps,59.82269
QUIC,cellular,BBR,100mbps,63.804142
QUIC,cellular,BBR,100mbps,61.503002
QUIC,cellular,BBR,100mbps,64.50506
QUIC,cellular,BBR,100mbps,66.62886
QUIC,cellular,BBR,100mbps,64.27701
QUIC,cellular,BBR,100mbps,62.0248
QUIC,cellular,BBR,100mbps,66.06778
QUIC,cellular,BBR,100mbps,64.94053
QUIC,cellular,BBR,100mbps,64.19782
QUIC,cellular,BBR,100mbps,66.835594
QUIC,cellular,BBR,100mbps,64.67785
QUIC,cellular,BBR,100mbps,69.83954
QUIC,cellular,BBR,100mbps,68.541954
QUIC,cellular,BBR,100mbps,70.40956
QUIC,cellular,BBR,100mbps,66.77108
QUIC,cellular,BBR,100mbps,63.446396
QUIC,cellular,BBR,100mbps,68.389175
QUIC,cellular,BBR,100mbps,71.10446
QUIC,cellular,BBR,100mbps,73.049995
QUIC,cellular,BBR,100mbps,71.51509
QUIC,cellular,BBR,100mbps,76.88009
QUIC,cellular,BBR,100mbps,76.46314
QUIC,cellular,BBR,100mbps,76.70389
QUIC,cellular,BBR,100mbps,81.59241
QUIC,cellular,BBR,100mbps,83.548805
QUIC,cellular,BBR,100mbps,84.932
QUIC,cellular,BBR,100mbps,89.7189
QUIC,cellular,BBR,100mbps,95.68008
QUIC,cellular,BBR,100mbps,100.42834
QUIC,cellular,BBR,100mbps,98.8737
QUIC,cellular,BBR,100mbps,101.03112
QUIC,cellular,BBR,100mbps,103.31604
QUIC,cellular,BBR,100mbps,105.41718
QUIC,cellular,BBR,100mbps,105.16761
QUIC,cellular,BBR,100mbps,103.850845
QUIC,cellular,BBR,100mbps,105.79527
QUIC,cellular,BBR,100mbps,104.07066
QUIC,cellular,BBR,100mbps,105.93491
QUIC,cellular,BBR,100mbps,104.30525
QUIC,cellular,BBR,100mbps,106.00976
QUIC,cellular,BBR,100mbps,104.026
QUIC,cellular,BBR,100mbps,106.29813
QUIC,cellular,BBR,100mbps,107.30414
QUIC,cellular,BBR,100mbps,108.15724
QUIC,cellular,BBR,100mbps,105.99954
QUIC,cellular,BBR,100mbps,107.209496
QUIC,cellular,BBR,100mbps,108.36585
QUIC,cellular,BBR,100mbps,108.122986
QUIC,cellular,BBR,100mbps,110.47649
QUIC,cellular,BBR,100mbps,108.55646
QUIC,cellular,BBR,100mbps,109.99929
QUIC,cellular,BBR,100mbps,107.68753
QUIC,cellular,BBR,100mbps,105.503365
QUIC,cellular,BBR,100mbps,107.105194
QUIC,cellular,BBR,100mbps,105.64704
QUIC,cellular,BBR,100mbps,107.499504
QUIC,cellular,BBR,100mbps,109.080894
QUIC,cellular,BBR,100mbps,109.97463
QUIC,cellular,BBR,100mbps,106.61292
QUIC,cellular,BBR,100mbps,107.67693
QUIC,cellular,BBR,100mbps,105.10314
QUIC,cellular,BBR,100mbps,106.24583
QUIC,cellular,BBR,100mbps,107.60952
QUIC,cellular,BBR,100mbps,105.51253
QUIC,cellular,BBR,100mbps,104.92952
QUIC,cellular,BBR,100mbps,98.43576
QUIC,cellular,BBR,100mbps,94.077965
QUIC,cellular,BBR,100mbps,91.18097
QUIC,cellular,BBR,100mbps,84.992836
QUIC,cellular,BBR,100mbps,80.72291
QUIC,cellular,BBR,100mbps,76.07126
QUIC,cellular,BBR,100mbps,73.2752
QUIC,cellular,BBR,100mbps,69.54856
QUIC,cellular,BBR,100mbps,72.41059
QUIC,cellular,BBR,100mbps,68.845795
QUIC,cellular,BBR,100mbps,70.3238
QUIC,cellular,BBR,100mbps,66.42826
QUIC,cellular,BBR,100mbps,64.627975
QUIC,cellular,BBR,100mbps,61.84392
QUIC,cellular,BBR,100mbps,64.89785
